2025-09-18 19:41:28,197 - INFO - 📋 Starting Modularized Optuna Pipeline
2025-09-18 19:41:28,198 - INFO - 📦 Original shape: (15000, 11)
2025-09-18 19:41:28,198 - INFO - 🧹 Cleaning dataset (dropping NaNs)
2025-09-18 19:41:28,213 - INFO - 📐 Performing train-test split.
2025-09-18 19:41:28,285 - INFO - ✅ After dropna: (14694, 11)
2025-09-18 19:41:28,285 - INFO - 🚀 Starting optimization for: torch_mlp
2025-09-18 22:41:00,546 - INFO - 🔁 Trial 57: Best RMSE=inf, Best R2=0.8210, Best Params={'torch_mlp_hidden_dim': 28, 'torch_mlp_lr': 9.099494599719471e-05, 'torch_mlp_batch_size': 32, 'torch_mlp_epochs': 50}
2025-09-18 22:42:08,313 - INFO - 🔁 Trial 58: Best RMSE=inf, Best R2=0.8210, Best Params={'torch_mlp_hidden_dim': 28, 'torch_mlp_lr': 9.099494599719471e-05, 'torch_mlp_batch_size': 32, 'torch_mlp_epochs': 50}
2025-09-18 22:46:50,631 - INFO - 🔁 Trial 59: Best RMSE=inf, Best R2=0.8210, Best Params={'torch_mlp_hidden_dim': 28, 'torch_mlp_lr': 9.099494599719471e-05, 'torch_mlp_batch_size': 32, 'torch_mlp_epochs': 50}
2025-09-18 22:48:56,755 - INFO - 🔁 Trial 60: Best RMSE=inf, Best R2=0.8210, Best Params={'torch_mlp_hidden_dim': 28, 'torch_mlp_lr': 9.099494599719471e-05, 'torch_mlp_batch_size': 32, 'torch_mlp_epochs': 50}
2025-09-18 22:50:50,152 - INFO - 🔁 Trial 61: Best RMSE=inf, Best R2=0.8210, Best Params={'torch_mlp_hidden_dim': 28, 'torch_mlp_lr': 9.099494599719471e-05, 'torch_mlp_batch_size': 32, 'torch_mlp_epochs': 50}
2025-09-18 22:53:02,286 - INFO - 🔁 Trial 62: Best RMSE=inf, Best R2=0.8210, Best Params={'torch_mlp_hidden_dim': 28, 'torch_mlp_lr': 9.099494599719471e-05, 'torch_mlp_batch_size': 32, 'torch_mlp_epochs': 50}
2025-09-18 22:54:37,799 - INFO - 🔁 Trial 63: Best RMSE=inf, Best R2=0.8210, Best Params={'torch_mlp_hidden_dim': 28, 'torch_mlp_lr': 9.099494599719471e-05, 'torch_mlp_batch_size': 32, 'torch_mlp_epochs': 50}
2025-09-18 22:59:54,129 - INFO - 🔁 Trial 64: Best RMSE=inf, Best R2=0.8210, Best Params={'torch_mlp_hidden_dim': 28, 'torch_mlp_lr': 9.099494599719471e-05, 'torch_mlp_batch_size': 32, 'torch_mlp_epochs': 50}
2025-09-18 23:01:57,727 - INFO - 🔁 Trial 65: Best RMSE=inf, Best R2=0.8210, Best Params={'torch_mlp_hidden_dim': 28, 'torch_mlp_lr': 9.099494599719471e-05, 'torch_mlp_batch_size': 32, 'torch_mlp_epochs': 50}
2025-09-18 23:04:44,311 - INFO - 🔁 Trial 66: Best RMSE=inf, Best R2=0.8210, Best Params={'torch_mlp_hidden_dim': 28, 'torch_mlp_lr': 9.099494599719471e-05, 'torch_mlp_batch_size': 32, 'torch_mlp_epochs': 50}
2025-09-18 23:19:32,637 - INFO - 🔁 Trial 67: Best RMSE=inf, Best R2=0.8210, Best Params={'torch_mlp_hidden_dim': 28, 'torch_mlp_lr': 9.099494599719471e-05, 'torch_mlp_batch_size': 32, 'torch_mlp_epochs': 50}
2025-09-18 23:27:48,702 - INFO - 🔁 Trial 68: Best RMSE=inf, Best R2=0.8210, Best Params={'torch_mlp_hidden_dim': 28, 'torch_mlp_lr': 9.099494599719471e-05, 'torch_mlp_batch_size': 32, 'torch_mlp_epochs': 50}
2025-09-18 23:28:19,376 - INFO - 🔁 Trial 69: Best RMSE=inf, Best R2=0.8210, Best Params={'torch_mlp_hidden_dim': 28, 'torch_mlp_lr': 9.099494599719471e-05, 'torch_mlp_batch_size': 32, 'torch_mlp_epochs': 50}
2025-09-18 23:31:14,666 - INFO - 🔁 Trial 70: Best RMSE=inf, Best R2=0.8210, Best Params={'torch_mlp_hidden_dim': 28, 'torch_mlp_lr': 9.099494599719471e-05, 'torch_mlp_batch_size': 32, 'torch_mlp_epochs': 50}
2025-09-18 23:33:35,705 - INFO - 🔁 Trial 71: Best RMSE=inf, Best R2=0.8210, Best Params={'torch_mlp_hidden_dim': 28, 'torch_mlp_lr': 9.099494599719471e-05, 'torch_mlp_batch_size': 32, 'torch_mlp_epochs': 50}
2025-09-18 23:35:50,611 - INFO - 🔁 Trial 72: Best RMSE=inf, Best R2=0.8210, Best Params={'torch_mlp_hidden_dim': 28, 'torch_mlp_lr': 9.099494599719471e-05, 'torch_mlp_batch_size': 32, 'torch_mlp_epochs': 50}
2025-09-18 23:38:36,600 - INFO - 🔁 Trial 73: Best RMSE=inf, Best R2=0.8210, Best Params={'torch_mlp_hidden_dim': 28, 'torch_mlp_lr': 9.099494599719471e-05, 'torch_mlp_batch_size': 32, 'torch_mlp_epochs': 50}
2025-09-18 23:40:20,833 - INFO - 🔁 Trial 74: Best RMSE=inf, Best R2=0.8210, Best Params={'torch_mlp_hidden_dim': 28, 'torch_mlp_lr': 9.099494599719471e-05, 'torch_mlp_batch_size': 32, 'torch_mlp_epochs': 50}
